year,UF,Codmun6,code_city,life_exp,year_edu,population,hdi
1991,35,354070,3540705,68.14,10.04,38005,0.567
1991,35,354075,3540754,66.01,9.09,10001,0.461
1991,35,354080,3540804,69.9,10.76,11166,0.523
1991,35,354085,3540853,65.79,8.38,1495,0.317
1991,35,354090,3540903,68.11,9.47,9861,0.558
1991,35,354100,3541000,66.25,9.35,122591,0.538
1991,35,354105,3541059,64.49,9.6,2783,0.458
1991,35,354110,3541109,66.2,8.71,4445,0.498
1991,35,354120,3541208,69.58,10.61,12875,0.568
1991,35,354130,3541307,66.86,9.87,34382,0.531
1991,35,354140,3541406,70.98,10.56,163167,0.623
1991,35,354150,3541505,69.08,9.66,35153,0.542
1991,35,354160,3541604,70.01,9.36,26530,0.521
1991,35,354165,3541653,68.07,6.96,1801,0.394
1991,35,354170,3541703,68.11,9.05,11253,0.474
1991,35,354180,3541802,67.15,9.81,1936,0.48
1991,35,354190,3541901,66.3,8.48,7621,0.448
1991,35,354200,3542008,65.08,9.4,5170,0.477
1991,35,354210,3542107,67.65,9.84,7976,0.516
1991,35,354220,3542206,70.41,9.56,26600,0.557
1991,35,354230,3542305,66.14,9.66,3999,0.402
1991,35,354240,3542404,68.92,9.53,14913,0.532
1991,35,354250,3542503,65.02,9.65,4728,0.488
1991,35,354260,3542602,66.71,9.78,48397,0.509
1991,35,354270,3542701,66.3,9.31,4396,0.439
1991,35,354280,3542800,63.38,8.47,3955,0.416
1991,35,354290,3542909,67.27,9.91,10259,0.485
1991,35,354300,3543006,63.54,6.73,19202,0.306
1991,35,354310,3543105,67.67,9.19,3229,0.441
1991,35,354320,3543204,66.54,9.86,4679,0.484
1991,35,354323,3543238,67.67,9.45,2172,0.478
1991,35,354325,3543253,63.63,6.74,6171,0.296
1991,35,354330,3543303,68.34,10.07,85395,0.58
1991,35,354340,3543402,70.23,10.17,424688,0.626
1991,35,354350,3543501,64.48,9.53,9359,0.405
1991,35,354360,3543600,67.15,8.28,2793,0.438
1991,35,354370,3543709,67.54,9.59,10313,0.501
1991,35,354380,3543808,65.56,10.22,11089,0.456
1991,35,354390,3543907,70.2,10.08,136676,0.611
1991,35,354400,3544004,68.55,9.46,19099,0.507
1991,35,354410,3544103,68.12,9.15,29894,0.498
1991,35,354420,3544202,65.46,9.09,7735,0.487
1991,35,354425,3544251,67.74,10.12,20603,0.54
1991,35,354430,3544301,68.19,9.12,6157,0.485
1991,35,354440,3544400,67.65,10.2,2627,0.527
1991,35,354450,3544509,68.03,9.65,2236,0.524
1991,35,354460,3544608,67.21,9.24,4517,0.44
1991,35,354470,3544707,66.66,9.86,2431,0.439
1991,35,354480,3544806,70.54,9.79,3725,0.476
1991,35,354490,3544905,69.66,9.31,7718,0.553
1991,35,354500,3545001,66.4,9.77,11274,0.473
1991,35,354510,3545100,66.66,9.19,4462,0.446
1991,35,354515,3545159,72.08,10.03,4988,0.573
1991,35,354520,3545209,68.21,9.52,71884,0.526
1991,35,354530,3545308,67.15,8.31,23986,0.46
1991,35,354540,3545407,68.69,9.91,7299,0.48
1991,35,354550,3545506,67.88,8.74,2395,0.513
1991,35,354560,3545605,69.08,10.49,12478,0.491
1991,35,354570,3545704,67.27,9.51,5626,0.468
1991,35,354580,3545803,69.51,9.9,144944,0.532
