"renda_cat","capital","anos_estudo_cat","genero","anos_estudo","idade","raca_cor"
"Menor que R$3300","N","9 a 12","M",11,59,"branca"
"Menor que R$3300","N","9 a 12","M",11,23,"branca"
"Menor que R$3300","N","Mais de 12","M",15,33,"branca"
"Menor que R$3300","N","9 a 12","F",11,32,"branca"
"Menor que R$3300","N","9 a 12","M",11,46,"negra"
"Menor que R$3300","N","9 a 12","M",11,22,"branca"
"Menor que R$3300","N","Até 8","M",3,34,"negra"
"Menor que R$3300","N","Até 8","F",7,29,"branca"
"Menor que R$3300","N","Até 8","M",3,20,"branca"
"Menor que R$3300","N","Até 8","M",8,31,"negra"
"Menor que R$3300","N","Até 8","M",6,34,"branca"
"Menor que R$3300","N","Até 8","F",6,33,"branca"
"Menor que R$3300","N","Até 8","M",4,54,"negra"
"Menor que R$3300","N","9 a 12","M",11,19,"negra"
"Menor que R$3300","N","9 a 12","M",11,60,"negra"
"Menor que R$3300","N","Até 8","M",5,27,"negra"
"Menor que R$3300","S","Mais de 12","F",15,53,"branca"
"Maior que R$3300","S","Mais de 12","M",15,63,"branca"
"Maior que R$3300","S","Mais de 12","M",15,48,"branca"
"Menor que R$3300","S","Mais de 12","F",15,30,"negra"
"Maior que R$3300","S","Mais de 12","M",15,33,"branca"
"Maior que R$3300","S","Mais de 12","F",15,47,"negra"
"Maior que R$3300","S","Mais de 12","F",15,30,"branca"
"Maior que R$3300","S","Mais de 12","M",15,28,"branca"
"Maior que R$3300","S","9 a 12","F",11,63,"branca"
"Menor que R$3300","S","Mais de 12","M",15,27,"branca"
"Maior que R$3300","S","Mais de 12","M",15,56,"branca"
"Menor que R$3300","S","Mais de 12","M",13,19,"branca"
"Maior que R$3300","S","Mais de 12","M",15,58,"negra"
"Maior que R$3300","S","Mais de 12","F",15,41,"branca"
"Maior que R$3300","S","Mais de 12","F",15,65,"negra"
"Maior que R$3300","S","Mais de 12","F",15,46,"negra"
"Menor que R$3300","S","Mais de 12","F",15,33,"branca"
"Menor que R$3300","S","Até 8","F",7,42,"branca"
"Menor que R$3300","S","Mais de 12","F",15,46,"branca"
"Menor que R$3300","S","Mais de 12","M",15,51,"negra"
"Menor que R$3300","S","Mais de 12","F",15,27,"branca"
"Maior que R$3300","S","Mais de 12","F",15,28,"branca"
"Maior que R$3300","S","9 a 12","M",11,47,"branca"
"Menor que R$3300","S","Mais de 12","F",14,44,"branca"
"Menor que R$3300","S","Mais de 12","F",14,22,"branca"
"Maior que R$3300","S","Mais de 12","M",13,37,"negra"
"Menor que R$3300","S","Mais de 12","F",15,41,"branca"
"Maior que R$3300","S","Mais de 12","M",15,38,"branca"
"Menor que R$3300","S","Mais de 12","F",14,23,"branca"
"Menor que R$3300","S","Mais de 12","F",15,37,"branca"
"Menor que R$3300","S","Mais de 12","F",15,32,"branca"
"Menor que R$3300","S","Mais de 12","M",15,32,"branca"
"Maior que R$3300","S","Mais de 12","M",15,37,"negra"
